NR_TURNO,DS_ELEICAO,DT_ELEICAO,SG_UF,codigo_tse,NM_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,sequencial,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,4,Vereador,190000684956,50501,HEITOR NEY MATHIAS DA SILVA,HEITOR NEY,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,36
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,218,Vereador,190000684944,50040,KAWANY PEDROSA LOPES TOME,KAWAN LOPES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,10
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,182,Vereador,190000684934,50022,TAYGOARA PEREIRA COTTA,TAYGOARA COTTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,3
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,5,Vereador,190000684949,50200,BRUNO RAFAEL DE OLIVEIRA,BRUNO DA SAÚDE,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,3
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,21,Vereador,190000684955,50203,DIANDUALA MARINETTE RAFAEL NGUIDI,KARABBAH,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,6
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,182,Vereador,190000684943,50050,JOAO PAULO MARQUES ALVARO,JOTA MARQUES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,264
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,233,Vereador,190000684961,50014,MARIA DE LOURDES DO CARMO,MARIA DOS CAMELÔS,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,14
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,179,Vereador,190000684966,50100,JOAO BATISTA OLIVEIRA DE ARAUJO,BABÁ,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,33
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,9,Vereador,190000684950,50999,HELOISA ETERNA GONZAGA,HELOISA ETERNA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,5
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,170,Vereador,190000684959,50444,LUIZ FERNANDO DA CONCEICAO PALMARES,FERNANDO PALMARES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,9
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,10,Vereador,190000684956,50501,HEITOR NEY MATHIAS DA SILVA,HEITOR NEY,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,7
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,25,Vereador,190000684960,50155,MARCIA PATRIZIO DOS SANTOS,MARCY,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,0
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,230,Vereador,190000684958,50180,LUCIANA BOITEUX DE FIGUEIREDO RODRIGUES,LUCIANA BOITEUX,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,14
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,214,Vereador,190000684953,50123,TARCISIO MOTTA DE CARVALHO,TARCISIO MOTTA,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,3729
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,180,Vereador,190000684947,50987,SIMONE DO NASCIMENTO DE ARAUJO,SIMONE NASCIMENTO,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,2
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,22,Vereador,190000684942,50500,FRANCISCO RODRIGUES DE ALENCAR FILHO,CHICO ALENCAR,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,701
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,182,Vereador,190000684950,50999,HELOISA ETERNA GONZAGA,HELOISA ETERNA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,216,Vereador,190000684949,50200,BRUNO RAFAEL DE OLIVEIRA,BRUNO DA SAÚDE,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,12
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,8,Vereador,190000684933,50555,RENATO ATHAYDE SILVA,RENATO CINCO,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,90
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,16,Vereador,190000684964,50505,MARCOS PAULO COSTA DA SILVA,DR MARCOS PAULO,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR MÉDIA,500
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,22,Vereador,190000684957,50188,JEANNE DE SOUZA LIMA,JEANNE SOUZA LIMA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,8
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,246,Vereador,190000684938,50222,WILLIAM CARLOS BRUM BISPO,WILLIAM SIRI,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR MÉDIA,535
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,188,Vereador,190000684934,50022,TAYGOARA PEREIRA COTTA,TAYGOARA COTTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,5
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,17,Vereador,190000684970,50001,SERGIO AMORIM DA SILVA,SERGIO AMORIM,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,2
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,118,Vereador,190000684944,50040,KAWANY PEDROSA LOPES TOME,KAWAN LOPES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,4
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,118,Vereador,190000684948,50577,TEREZA CORREA DA SILVA,TEREZA ARAPIUM,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,7
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,242,Vereador,190000684946,50234,SERGIO RICARDO DE LIMA,SÉRGIO RICARDO VERDE POTIGUARA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,6
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,211,Vereador,190000684957,50188,JEANNE DE SOUZA LIMA,JEANNE SOUZA LIMA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,13
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,162,Vereador,190000684944,50040,KAWANY PEDROSA LOPES TOME,KAWAN LOPES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,13
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,10,Vereador,190000684969,50333,MONICA TEREZA AZEREDO BENICIO,MONICA BENICIO,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,312
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,246,Vereador,190000684947,50987,SIMONE DO NASCIMENTO DE ARAUJO,SIMONE NASCIMENTO,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,162,Vereador,190000684943,50050,JOAO PAULO MARQUES ALVARO,JOTA MARQUES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,86
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,245,Vereador,190000684938,50222,WILLIAM CARLOS BRUM BISPO,WILLIAM SIRI,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR MÉDIA,1732
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,120,Vereador,190000684948,50577,TEREZA CORREA DA SILVA,TEREZA ARAPIUM,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,12
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,120,Vereador,190000684952,50111,PAULO PINHEIRO,PAULO PINHEIRO,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,65
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,22,Vereador,190000684938,50222,WILLIAM CARLOS BRUM BISPO,WILLIAM SIRI,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR MÉDIA,20
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,161,Vereador,190000684954,50888,ARILDO NERYS DA SILVA JUNIOR,PROF DR ARILDO NERYS JUNIOR,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,0
